 107  1988MNRAS.232..865C Coe et al.                          
 108  1990MNRAS.243..475C Coe et al.                          
 109  1994MNRAS.270L..57C Coe et al.                          
 110  1994A&A...289..784C Coe et al.                          
 111  1996MNRAS.281..333C Coe et al.                          
 112  1998MNRAS.293...43C Coe et al.                          
 113  2000MNRAS.314..290C Coe et al.                          
 114  1991ApJ...370..670C Cominsky & Moraes                   
 115  1978ApJ...224...46C Cominsky et al.                     
 115a 1994ApJ...427..978C Cominsky et al.                     
 116  1978A&A....63..225C Conti                               
 117  1975ApJ...200..133C Conti & Cowley                      
 118  1998IAUC.6860Q...1C Cook                                
 119                      Cook et al.                         1984, in "X-ray Astronomy '84", eds. M. Oda & R. Giacconi, p. 225.
 120  1987MNRAS.225..381C Cook & Page                         
 121  1987MNRAS.225..369C Cook & Warwick                      
 122  1984ApJ...285..258C Cooke et al.                        
 123                      Corbet                              1987, in: 'Physics of Be stars', eds. A. Slettebak & T.P. Snow (Cambridge), 311.
 124  1990MNRAS.243..553C Corbet & Day                        
 124a 1984A&A...131..385C Corbet & Mason                      
 125  2000ApJ...530L..33C Corbet & Peele                      
 126  1985MNRAS.212..565C Corbet et al.                       
 127  1986MNRAS.221..961C Corbet et al.                       
 128  1986A&A...162..117C Corbet et al.                       
 129  1997IAUC.6556Q...1L Corbet et al.                       
 130  1997ApJ...476..833C Corbet et al.                       
 131  1997ApJ...489L..83C Corbet et al.                       
 132  1998IAUC.6803Q...1C Corbet et al.                       
 133  1999ApJ...511..876C Corbet et al.                       
 134  1999ApJ...517..956C Corbet et al.                       
 135  1978AJ.....83.1619C Cowley et al.                       
 136  1983ApJ...272..118C Cowley et al.                       
 137  1991ApJ...373..228C Cowley et al.                       
 138  1991ApJ...381..526C Cowley et al.                       
 139  1994ApJ...429..826C Cowley et al.                       
 140  1995PASP..107..145C Cowley et al.                       
 141  1997PASP..109...21C Cowley et al.                       
 142  1983VatOP...2...73C Coyne & McConnell                   
 143  1978VatOP...1..257C Coyne & Otten                       
 144  1978IAUC.3180....1C Crampton & Hutchings                
 145  1981ApJ...251..604C Crampton & Hutchings                
 146  1978ApJ...223L..79C Crampton et al.                     
 147  1978ApJ...225L..63C Crampton et al.                     
 148  1985ApJ...299..839C Crampton et al.                     
 149  1991A&A...246..210C Crawford                            
 150                      Cusumano et al.                     1990, in ref. [767], p. 369.
 151  1998A&A...337..772C Cusumano et al.                     
 152  2000ApJ...528L..25C Cusumano et al.                     
 153  1970A&A.....5..312D Dachs                               
 154  1972A&A....21..373D Dachs                               
 155  1976A&A....47...19D Dachs                               
 156  1989A&AS...78..487D Dachs et al.                        
 157  1987A&A...180..114D D'Amico et al.                      
 158  1983ApJ...270..671D Davis & Hartmann                    
 159  1977MNRAS.181p..73D Davison et al.                      
 160  1987ApJ...314..634D Deeter et al.                       
 161  1987AJ.....93..877D Deeter et al.                       
 162  1989ApJ...336..376D Deeter et al.                       
 163  1981A&A...104..150D De Loore et al.                     
 164  1984A&A...141..279D De Loore et al.                     
 165  1995IAUC.6184....1D Dennerl                             
 166  1982MNRAS.201..171D Densham & Charles                   
 167  1983MNRAS.205.1117D Densham et al.                      
 168  1983ApJ...273L..71D Dickey et al.                       
 169  1990IBVS.3500....1D Dieters et al.                      
 170  1987A&A...182L..25D Doazan et al.                       
 171  1991Natur.353..329D D'Odorico et al.                    
 172  1984A&A...139..249D Dolan & Tapia                       
 173  1988A&A...202..124D Dolan & Tapia                       
 174  1989ApJ...344..830D Dolan & Tapia                       
 175  1987A&A...173...86D Doll & Brinkmann                    
 176  1995IAUC.6241....1D Dotani et al.                       
 177  1978Natur.273..364D Dower et al.                        
 178  1977Natur.269..112D Doxsey et al.                       
 179  1990AJ....100..572D Drake                               
 180  1975AJ.....80..128D Drilling                            
 181  1975PASP...87..769D Dufour & Duval                      
 182  1978Natur.275..400D Dupree et al.                       
 183  1980ApJ...238..969D Dupree et al.                       
 184  1989PASJ...41..519E Ebisawa et al.                      
 185  1993A&A...268..178E Estalella et al.                    
 186                      Exosat & Einstein data Bases.       
 187  1975Natur.254..577E Eyles et al.                        
 188  1977ApJ...214..235F Fabbiano & Schreier                 
 189  1989MNRAS.238..729F Fabian et al.                       
 190  1992A&A...259..522F Fabregat et al.                     
 191  1990A&A...240L...5F Fabrika & Bychkova                  
 192  1980ApJ...240..169F Fahlman & Walker                    
 193  1985ApJS...58..225F Fahlman et al.                      
 194  1987MNRAS.224..323F Falomo et al.                       
 195  1961MNRAS.122..239F Feast et al.                        
 196  1968ZA.....68...29F Feinstein                           
 197  1986A&A...168...69F Fejes                               
 198  1988A&A...189..124F Fejes et al.                        
 199  1999MNRAS.308..473F Fender et al.                       
 200  2000ApJ...530L..29F Fender et al.                       
 201  1980A&A....84..108F Ferrer                              
 202  1987AJ.....94.1244F Fiedler et al.                      
 203  2000A&A...353..129F Filipovic & Pietsch                 
 204  1988AJ.....96..242F Filippenko et al.                   
 205  1992IAUC.5430....1F Finger et al.                       
 206  1994IAUC.5959....1F Finger et al.                       
 207  1996A&AS..120C.209F Finger et al.                       
 208  1996ApJ...459..288F Finger et al.                       
 209  1999ApJ...517..449F Finger et al.                       
 210  1994ApJ...429..356F Finley et al.                       
 211  1991IAUC.5394....1F Fishman et al.                      
 212  1973A&AS....9..297F Fitzgerald                          
 213  1973ApJ...182L.103F Forman et al.                       
 214  1976ApJ...206L..29F Forman et al.                       
 215  1978ApJS...38..357F Forman et al.                       
 216  1991AJ....101.2126F Frail & Hjellming                   
 217  1986ApJ...303..292F Friend & Cassinelli                 
 218  1975ApJ...198L.105F Frontera & Fuligni                  
 219  1987ApJ...320L.127F Frontera et al.                     
 219a 1998A&A...339L..69F Frontera et al.                     
 220  1998IAUC.6865Q...1G Garcia et al.                       
 221  1977ApJS...35..111G Garrison et al.                     
 222  1983ApJ...273L..65G Geldzahler et al.                   
 223  1989ApJ...342.1123G Geldzahler et al.                   
 224  1971ApJ...167L..67G Giacconi et al.                     
 225  1980A&AS...40..289G Giangrande et al.                   
 226  1997MNRAS.288..958G Gierlinski et al.                   
 227  1982ApJ...260..240G Gies & Bolton                       
 228  1984ApJ...276L..17G Gies & Bolton                       
 229  1986ApJ...304..371G Gies & Bolton                       
 230  1992SSRv...59....1G Giovannelli & Graziali              
 231                      Giovannelli et al.                  1985, in: Multifrequency Behaviour of Galactic Accreting Sources, ed. F. Giovannelli, p. 284.
 232  1979MNRAS.187..807G Glass                               
 233  1956BOTT....2o..16G Gonzales & Gonzales                 
 234  1991PAZh...17..938G Goranskij et al.                    
 235  1988Ap&SS.145..263G Gorayo & Tur                        
 236  1986MNRAS.222p..21G Gottwald et al.                     
 237  1991A&AS...89..367G Gottwald et al.                     
 238  1991PAZh...17..991G Grankin et al.                      
 239  1991IAUC.5354....1M Grebenev & Sunyaev                  
 240  1978Natur.272..704G Gregory & Taylor                    
 241  1972Natur.239..440G Gregory et al.                      
 242  1979AJ.....84.1030G Gregory et al.                      
 243  1989ApJ...339.1054G Gregory et al.                      
 243a 1995ApJ...441L..43G Greiner et al.                      
 244  1984ApJ...276..621G Grindlay et al.                     
 245  1984ApJ...277..286G Grindlay et al.                     
 245a 1995ApJ...447L.113G Grove et al.                        
 246  1988ApJ...328..265G Gruber                              
 247  1984ApJ...283..546G Gruber & Rothschild                 
 248  1991ApJ...376..245H Haberl                              
 249  1995A&A...296..685H Haberl                              
 250  1999A&A...344..521H Haberl & Pietsch                    
 251  1990ApJ...361..225H Haberl & White                      
 252  1989ApJ...343..409H Haberl et al.                       
 253  1997A&A...318..490H Haberl et al.                       
 254  1998A&A...335..587H Haberl et al.                       
 255  2000A&AS..142...41H Haberl et al.                       
 256  1988IBVS.3260....1H Haefner                             
 257  1999MNRAS.310L..21H Haigh et al.                        
 258  1978A&A....64..399H Hammerschlag-Hensberge              
 259  1977A&A....56..433H Hammerschlag-Hensberge & Wu         
