  96  1999ApJ...517..367B Borozdin, K.N. et al.               
  97  2000ApJ...533L.131B Borozdin, K.N. et al.               
  98  1996ApJ...462..754B Borrel, V. et al.                   
  99  1984ApJ...285L..67B Bouchacourt, P. et al.              
 100  1973ApJ...186..617B Boynton, P.E. et al.                
 101  1997ApJ...481..489B Bradshaw, C.F. et al.               
 102  1999ApJ...512L.121B Bradshaw, C.F. et al.               
 103  1983ARA&A..21...13B Bradt, H.V. & McClintock, JE.       
 104  1975ApJ...197..443B Bradt, H.V. et al.                  
 105  1977Natur.269..496B Bradt, H.V. et al.                  
 106  1972Natur.236..392B Braes, L.L.E. et al.                
 107  1992A&A...254L..39B Brandt, S. et al.                   
 108  1992A&A...262L..15B Brandt, S. et al.                   
 109  1993A&AS...97..299L Brandt, S. et al.                   
 110  2000ApJL.submitt... Brandt, W.N. & Schulz, N.S.         *2000, ApJL, submitted
 111  1996MNRAS.283.1071B Brandt, W.N. et al.                 
 112  1976MNRAS.175p..47B Branduardi, G. et al.               
 113  1983MNRAS.205..403B Branduardi-Raymont, G. et a.        
 114  1986MNRAS.218..487B Breedon, L.M. et al.                
 115  1995ApJ...442..638B Briggs, M.S. et al.                 
 116  1996IAUC.6290....1B Briggs, M.S. et al.                 
 117  1977ApJ...212..768B Buff, J. et al.                     
 118  1989IAUC.4786.....M Buie, M.W. & Bond, H.E.             
 119  1998IAUC.6815Q...1Q Buxton, M. et al.                   
 120  1991MNRAS.249..573C Callanan, P.J. & Charles, PA.       
 121  1990A&A...240..346C Callanan, P.J. et al.               
 122  1992MNRAS.259..395C Callanan, P.J. et al.               
 123  1995PASJ...47..153C Callanan, P.J. et al.               
 124  1995MNRAS.273..201C Callanan, P.J. et al.               
 125  1995ApJ...441..786C Callanan, P.J. et al.               
 126  1996ApJ...461..351C Callanan, P.J. et al.               
 127  1996ApJ...470L..57C Callanan, P.J. et al.               
 128  1998IAUC.6933Q...1O Callanan, P. et al.                 
 129  1999IAUC.7086Q...1S Callanan, P.J. et al.               
 130  2000A&A...355.1049C Callanan, P.J. et al.               
 131  1992IAUC.5587....1C Camerron, R.A. et al.               
 132  2000ApJ...534L..79C Campana, S.                         
 133  1997A&A...324..941C Campana, S. et al.                  
 134  1998ApJ...499L..65C Campana, S. et al.                  
 135  2000A&A...358..583C Campana, S. et al.                  
 136  2000IAUC.7401Q...1C Campana, S. et al.                  
 137  1994IAUC.6052....1D Campbell-Wilson, D. & Hunstad, R.   
 138  1998IAUC.7010Q...1F Campbell-Wilson, D. et al.          
 139  1975ApJ...197..457C Canizares, C.R. et al.              
 140  1979ApJ...234..556C Canizares, C.R. et al.              
 141  1980ApJ...236L..55C Canizares, C.R. et al.              
 142  1996ApJ...466L..31C Cannizzo, J.H.K.                    
 143  1975IAUC.2852R...1C Carpenter, G.F. et al.              
 144  1977MNRAS.179p..27C Carpenter, G.F. et al.              
 145  1992MNRAS.255....7C Casares, J. & Charles, P.A.         
 146  1994MNRAS.271L...5C Casares, J. & Charles, P.A.         
 147  1991MNRAS.250..712C Casares, J. et al.                  
 148  1992Natur.355..614C Casares, J. et al.                  
 149  1993MNRAS.265..834C Casares, J. et al.                  
 150  1995MNRAS.274..565C Casares, J. et al.                  
 151  1995MNRAS.276L..35C Casares, J. et al.                  
 152  1995MNRAS.277L..45C Casares, J. et al.                  
 153  1998IAUC.6971Q...1F Casares, J. et al.                  
 154  1998ApJ...493L..39C Casares, J. et al.                  
 155  1995IAUC.6223....1C Castro-Tirado, A.J.                 
 156  1992IAUC.5587....1C Castro-Tirado, A.J. et al.          
 157  1993A&A...276L..37C Castro-Tirado, A.J. et al.          
 158  1996ApJ...461L..99C Castro-Tirado, A.J. et al.          
 159  1997A&A...322..507C Castro-Tirado, A.J. et al.          
 160  1998IAUC.7013Q...1M Castro-Tirado, A.J. et al.          
 161  1998ApJ...492..342C Chakrabarty, D.                     
 162  1998Natur.394..346C Chakrabarty, D. & Morgan, H         
 163  1997ApJ...489..254C Chakrabarty, D. & Roche, P.         
 164  1997ApJ...474..414C Chakrabarty, D. et al.              
 165  1997ApJ...481L.101C Chakrabarty, D. et al.              
 166  1998ApJ...497L..39C Chakrabarty, D. et al.              
 167  1992MNRAS.255p...6C Charles, P.A. & Naylor, T.          
 168  1978MNRAS.183p..29C Charles, P.A. et al.                
 169  1980ApJ...237..154C Charles, P.A. et al.                
 170  1980ApJ...241.1148C Charles, P.A. et al.                
 171  1986Natur.323..417C Charles, P.A. et al.                
 172  ................... Charles, P.A. et al.                *1989, in Proc. 23rd ESLAB Symp. (ESA SP-296), p. 103
 173  1991MNRAS.249..567C Charles, P.A. et al.                
 174  1999IAUC.7267R...1C Charles, P.A. et al.                
 175  1996A&A...310..825C Chaty, S. et al.                    
 176  1999IAUC.7284Q...1C Chaty, S. et al.                    
 177  2000IAUC.7394Q...1J Chaty, S. et al.                    
 178  1997ApJ...477L..41C Chen, X. et al.                     
 179  1992ApJ...397..664C Cheng, F.H. et al.                  
 180  1995ApJ...452..825C Cheng, F.H. et al.                  
 181  1998Sci...280..407C Cheng, K.S. et al.                  
 182  1994A&A...289..419C Cherepashchuk, A.M. et al.          
 183  ................... Chevalier, C.                       *1989, in Proc. 23rd ESLAB Symp. (ESA SP-296), p. 341
 184  1974A&A....35..407C Chevalier, C. & Ilovaisky, .A.      
 185  1981A&A....94L...3C Chevalier, C. & Ilovaisky, .A.      
 186  1982A&A...112...68C Chevalier, C. & Ilovaisky, .A.      
 187  1987A&A...172..167C Chevalier, C. & Ilovaisky, .A.      
 188  1990A&A...228..115C Chevalier, C. & Ilovaisky, .A.      
 189  1990A&A...238..163C Chevalier, C. & Ilovaisky, .A.      
 190  1991A&A...251L..11C Chevalier, C. & Ilovaisky, .A.      
 191  1992Priv.Comm.....C Chevalier, C. & Ilovaisky, .A.      *1992, private commun
 192  1993A&A...269..301C Chevalier, C. & Ilovaisky, .A.      
 193  1996A&A...312..105C Chevalier, C. & Ilovaisky, .A.      
 194  1985A&A...147L...3C Chevalier, C. et al.                
 195  1985SSRv...40..443C Chevalier, C. et al.                
 196  1989A&A...210..114C Chevalier, C. et al.                
 197  1989A&A...217..108C Chevalier, C. et al.                
 198  1999A&A...347L..51C Chevalier, C. et al.                
 199  1983ApJ...265..354C Chiappetti, L. et al.               
 200  1985SSRv...40..207C Chiappetti, L. et al.               
 201  1990ApJ...361..596C Chiappetti, L. et al.               
 202  1968ApJ...152L..45C Chodil, G. et al.                   
 203  1992AJ....103..142C Christian, C.A. & Friel, E..        
 204  1992IAUC.5623....1C Churazov, E. et al.                 
 205  1993ApJ...407..752C Churazov, E. et al.                 
 206  1994IAUC.6083....1B Churazov, E. et al.                 
 207  1995ApJ...443..341C Churazov, E. et al.                 
 208  1996ApJ...464L..71C Churazov, E. et al.                 
 209  1993MNRAS.260...59C Church, M.J. & Batucinska-Curch, M. 
 210  1997A&A...317L..47C Church, M.J. & Batucinska-Curch, M. 
 211  1998A&A...338..556C Church, M.J. et al.                 
 212  1998ApJ...504..516C Church, M.J. et al.                 
 213  1994ApJ...423..436C Claret, A. et al.                   
 214  1975Natur.254..674C Clark, D.H. et al.                  
 215  1975IAUC.2843Q...1C Clark, G.W.                         
 216  1977IAUC.3092V...1C Clark, G.W. & Li, F.                
 217  1977MNRAS.179..651C Clark, G.W. et al.                  
 218  1998ApJ...508L.163C Cocchi, M. et al.                   
 219  1999A&A...346L..45C Cocchi, M. et al.                   
 220  1999IAUC.7247Q...1L Cocchi, M. et al.                   
 221  1999IAUC.7307Q...1H Cocchi, M. et al.                   
 222  2000A&A...357..527C Cocchi, M. et al.                   
 223  1994MNRAS.270..178C Coe, M.J. et al.                    
 224  1997ApJ...480..377C Cole, D.M. et al.                   
 225  1980Thesi.........C Cominsky, L.R.                      *1980, Ph.D. Thesis M.I.T
 226  1983ApJ...270..226C Cominsky, L.R. et al.               
 227  1984ApJ...283..765C Cominsky, L. & Wood, K.S.           
 228  1989ApJ...337..485C Cominsky, L. & Wood, K.S.           
 229  1977ApJ...211L...9C Cominsky, L. et al.                 
 230  1978ApJ...224...46C Cominsky, L. et al.                 
 231  1969ApJ...157L.157C Conner, J.P. et al.                 
 232  2000IAUC.7397Q...1M Cook, L. et al.                     
 233  1984ApJ...285..258C Cooke, B.A. et al.                  
 234  1991A&A...244..358C Cooke, B.A. & Ponman, T.J.          
 235  2000A&A...359..251C Corbel, S. et al.                   
 236  1986MNRAS.222p..15C Corbet, R.H.D. et al.               
 237  1987MNRAS.227.1055C Corbet, R.H.D. et al.               
 238  1989MNRAS.239..533C Corbet, R.H.D. et al.               
 239  1994ApJ...436L..15C Corbet, R.H.D. et al.               
 240  1995ApJ...443..786C Corbet, R.H.D. et al.               
 241  1996IAUC.6508Q...1L Corbet, R. et al.                   
 242  1997IAUC.6632Q...1H Corbet, R. et al.                   
 243  ................... Cordier, B. et al.                  *1992, Proc. Compton Symp. (St Louis)
 244  1993A&A...275L...1C Cordier, B. et al.                  
 245  1994ApJS...92..401C Cordier, B. et al.                  
 246  2000A&A...357L..21C Cornelisse, R. et al.               
 247  1986ApJ...309..265C Courvoisier, T.J.-L. et al.         
 248  1990AJ.....99..678C Cowley, A.P. & Schmitke, P..        
 249  1979ApJ...231..539C Cowley, A.P. et al.                 
 250  1982ApJ...255..596C Cowley, A.P. et al.                 
 251  1982ApJ...256..605C Cowley, A.P. et al.                 
 252  1987AJ.....93..195C Cowley, A.P. et al.                 
 253  1988ApJ...333..906C Cowley, A.P. et al.                 
 254  1988AJ.....95.1231C Cowley, A.P. et al.                 
 255  1991ApJ...373..228C Cowley, A.P. et al.                 
 256  1974ApJ...187..345C Crampton, D.                        
 257  1972ApJ...178L..65C Crampton, D. & Hutchings, JB.       
 258  1974ApJ...191..483C Crampton, D. & Hutchings, JB.       
 259  1986ApJ...306..599C Crampton, D. et al.                 
 260  1990ApJ...355..496C Crampton, D. et al.                 
 261  1999A&A...345..826C Cremonesi, D.I. et al.              
 262  1978ApJ...222L..95C Cruddace, R.G. et al.               
 263  1988AJ.....96..105C Cudworth, K.M.                      
 264  1997ApJ...482L.163C Cui, W.                             
 265  1999ApJ...524L..59C Cui, W.                             
 266  1997IAUC.6604Q...1C Cui, W. et al.                      
 267  1997ApJ...487L..73C Cui, W. et al.                      
 268  1998ApJ...492L..53C Cui, W. et al.                      
 269  1998ApJ...502L..49C Cui, W. et al.                      
 270  1998ApJ...504L..27C Cui, W. et al.                      
 271  1999IAUC.7191Q...1C Cui, W. et al.                      
 272  1999ApJ...512L..43C Cui, W. et al.                      
 273  2000ApJ...529..952C Cui, W. et al.                      
 274  2000ApJ...531L..45C Cui, W. et al.                      
 275  2000ApJ...535L.123C Cui, W. et al.                      
 276  1986ApJ...300..551C Cutler, E.P. et al.                 
 277  1987ApJ...312..122C Czerny, M. et al.                   
 278  1990AJ....100..162D Da Costa, G.S. & Armandroff T.E.    
 279  ................... Dal Fiume, D. et al.                *1990, Nuovo Cimento C 13, 481
 280  1998A&A...329L..41D Dal Fiume, D. et al.                
